name,email,phone,website,city,source,category,created_at
Property Archer,,"
098259 37858",,"Ahmedabad, Gujarat, India",google_maps_browser,,2026-02-06T07:21:57.579845
Evergreen Realtors,,"
099250 00112",,"Ahmedabad, Gujarat, India",google_maps_browser,,2026-02-06T07:21:45.054891
Satnam Real Estate,,"
099048 07777",,"Ahmedabad, Gujarat, India",google_maps_browser,,2026-02-06T07:21:35.984203
SHRIRAM KRUPA REALTY,,"
081600 52551",,"Ahmedabad, Gujarat, India",google_maps_browser,,2026-02-06T07:21:32.455051
Rhythm Realtors,,"
098307 61975",http://rhythmrealtors.com,"Ahmedabad, Gujarat, India",google_maps_browser,,2026-02-06T07:19:15.548533
Arham Promoters - Commercial Property Broker Ahmedabad,,"
097122 18188",https://www.arhampromoters.com,"Ahmedabad, Gujarat, India",google_maps_browser,,2026-02-06T07:19:14.100612
A-one space real estate,,"
099090 02850",http://www.aonespace.in,"Ahmedabad, Gujarat, India",google_maps_browser,,2026-02-06T07:19:11.680124
Active Real Estate,,"
099250 02441",,"Ahmedabad, Gujarat, India",google_maps_browser,,2026-02-06T07:19:10.265714
CAPITALZ,,,http://www.capitalz.in,"Ahmedabad, Gujarat, India",google_maps_browser,,2026-02-06T07:19:07.110763
Empire Properties,,"
091260 81260",http://empireproperties.in,"Ahmedabad, Gujarat, India",google_maps_browser,,2026-02-06T07:19:04.955454
KARV REALTY,,"
099250 01652",http://www.karvrealty.com,"Ahmedabad, Gujarat, India",google_maps_browser,,2026-02-06T07:19:03.868920
Newedge Realty Pvt. Ltd.,,"
079 4030 7106",https://newedgerealty.in/?utm_source=Google&utm_medium=Organic+traffic&utm_campaign=Local+business+focus,"Ahmedabad, Gujarat, India",google_maps_browser,,2026-02-06T07:19:02.488124
GRUH PROPERTIES,,"
090339 01752",http://gruhproperties.com,"Ahmedabad, Gujarat, India",google_maps_browser,,2026-02-06T07:19:01.358435
BOPAL REAL ESTATE,,"
084010 05506",,"Ahmedabad, Gujarat, India",google_maps_browser,,2026-02-06T07:19:00.175676
RES Management,,"
063543 59222",https://pikorua.in,"Ahmedabad, Gujarat, India",google_maps_browser,,2026-02-06T07:18:56.730341
"PIKORUA Realty - Ahmedabad, Mumbai, Dubai - Best & Most Trusted Luxury Real Estate Consultancy Firm",,"
063543 59222",https://pikorua.in,"Ahmedabad, Gujarat, India",google_maps_browser,,2026-02-06T07:18:55.636819
Skyland Realty - Real Estate Consultant in Ahmedabad,,"
091732 37316",http://www.skylandrealty.in,"Ahmedabad, Gujarat, India",google_maps_browser,,2026-02-06T07:18:54.537723
"Aegis Realtors -Best Real Estate Consultant in Ahmedabad, Gandhinagar, Gift City",,"
093287 21021",http://www.aegisrealtors.com,"Ahmedabad, Gujarat, India",google_maps_browser,,2026-02-06T07:18:53.451606
SIGNATURE REALTY,,"
080005 38755",,"Ahmedabad, Gujarat, India",google_maps_browser,,2026-02-06T07:18:52.047397
"Universal Property Exchange - Real Estate Broker In Bopal, Shilaj, Shela",,"
074360 70800",,"Ahmedabad, Gujarat, India",google_maps_browser,,2026-02-06T07:18:48.858326
City Estate Management,,"
084600 14000",https://www.cityestatemanagement.co.in,"Ahmedabad, Gujarat, India",google_maps_browser,,2026-02-06T07:18:45.760421
"Vital Space Management Pvt Ltd - Real Estate Consultant in Ahmedabad, Gujarat",,"
099984 70000",https://www.vitalspace.in,"Ahmedabad, Gujarat, India",google_maps_browser,,2026-02-06T07:18:44.667509
The Real Estate CONNECT,,"
02717 412 424",http://www.therealestateconnect.com,"Ahmedabad, Gujarat, India",google_maps_browser,,2026-02-06T07:18:43.602591
Alpha Realty : Real Estate Consultant in Ahmedabad,,"
090990 75184",https://alpharealty.co.in,"Ahmedabad, Gujarat, India",google_maps_browser,,2026-02-06T07:18:42.173313
