name,email,phone,website,city,source,category,created_at
Tea Post - The Desi Cafe,,"
098797 77414",http://www.teapost.in,Gujarat,google_maps_browser,,2026-02-14T08:12:04.952304
"Cafe Baba Budan, Bodakdev Ahmedabad | Where Every Sip Tells a Story",,"
087990 46413",http://www.bababudancafe.in,Gujarat,google_maps_browser,,2026-02-14T08:12:03.571944
Cafe Everbean,,,,Gujarat,google_maps_browser,,2026-02-14T08:12:01.138475
Caffix- The Tech Cafe,,"
096876 26060",,Gujarat,google_maps_browser,,2026-02-14T08:11:56.840388
The Gourmet LAB,,"
083206 12851",http://www.crushcoffee.in,Gujarat,google_maps_browser,,2026-02-14T08:11:53.188451
Crush Coffee,,"
083206 12851",http://www.crushcoffee.in,Gujarat,google_maps_browser,,2026-02-14T08:11:51.873030
Cafe Affogato,,"
075674 11818",http://cafeaffogato.co.in,Gujarat,google_maps_browser,,2026-02-14T08:11:50.573759
Z27 Coffee Bar - Ahmedabad,,"
063594 82264",,Gujarat,google_maps_browser,,2026-02-14T08:11:49.043883
Tero Restro&Cafe,,"
090900 99499",,Gujarat,google_maps_browser,,2026-02-14T08:11:45.412201
Grace Coffee Co. SBR Outlet,,"
096878 78689",,Gujarat,google_maps_browser,,2026-02-14T08:11:42.053090
Coffee By Di Bella Arista,,"
079 6618 5000",http://www.marriott.com/hotels/hotel-information/restaurant/amdcy-courtyard-ahmedabad,Ahmedabad,google_maps_browser,,2026-02-14T08:11:28.764136
Java+,,"
079 6618 5000",http://www.marriott.com/hotels/hotel-information/restaurant/amdcy-courtyard-ahmedabad,Ahmedabad,google_maps_browser,,2026-02-14T08:11:27.013404
Surkhi Cafe,,"
083206 12851",http://crushcoffee.in,Ahmedabad,google_maps_browser,,2026-02-14T08:11:25.768937
Crush Coffee - SG Highway,,"
083206 12851",http://crushcoffee.in,Ahmedabad,google_maps_browser,,2026-02-14T08:11:24.510764
The Gourmet LAB,,"
096876 26060",,Ahmedabad,google_maps_browser,,2026-02-14T08:11:22.568755
Roastery Cultúr - The Coffee Company,,"
093271 43223",,Ahmedabad,google_maps_browser,,2026-02-14T08:11:19.194508
Granville Greens Café & Restaurant - Best Cafe & Restaurant in Sindhubhavan | Best Cafe & Restaurant in Ahmedabad,,"
099250 31470",,Ahmedabad,google_maps_browser,,2026-02-14T08:11:15.422750
